epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9952,1.07943,13.9216,0.00968,0,0,0,0,0.62548,9.03971,0.00557,0,0,0.1
2,21.2874,0.62369,5.21215,0.00335,0,0,0,0,0.56575,8.73678,0.00501,9.901e-05,9.901e-05,0.099099
3,30.2752,0.85834,5.48634,0.00548,0,0,0,0,0.32954,8.37028,0.00287,0.00019604,0.00019604,0.098196
4,39.1202,0.76129,4.8193,0.00409,0,0,0,0,0.28277,8.3446,0.00243,0.00029109,0.00029109,0.0972911
5,48.1126,0.41725,6.18051,0.00348,0.00111,0.16667,0.0007,0.0007,0.27755,7.88889,0.00237,0.00038416,0.00038416,0.0963842
6,57.0587,0.63303,6.55493,0.00429,0.00222,0.33333,0.00199,0.00198,0.23944,7.23564,0.00209,0.00047525,0.00047525,0.0954753
7,66.587,0.57848,4.29728,0.0038,0.00111,0.16667,0.00065,6e-05,0.24375,7.21161,0.00203,0.00056436,0.00056436,0.0945644
8,75.4823,0.45398,3.68537,0.00276,0.00222,0.33333,0.004,0.004,0.24027,6.57537,0.00209,0.00065149,0.00065149,0.0936515
9,84.4074,0.85425,5.98331,0.00585,0.004,0.16667,0.00658,0.00592,0.2894,5.79469,0.00257,0.00073664,0.00073664,0.0927366
10,93.5,0.32272,3.93194,0.00234,0.02937,0.16667,0.03009,0.02774,0.355,4.97376,0.00319,0.00081981,0.00081981,0.0918198
11,102.37,0.40075,2.75227,0.00213,0.53251,0.16667,0.2666,0.24555,0.30861,3.97421,0.00288,0.000901,0.000901,0.090901
12,111.216,0.45146,3.52567,0.00404,0.3359,0.26211,0.46544,0.43542,0.31823,3.26205,0.00296,0.00098021,0.00098021,0.0899802
13,120.298,0.38806,1.75257,0.0018,0.97498,1,0.995,0.93991,0.30173,2.3959,0.00288,0.00105744,0.00105744,0.0890574
14,129.739,0.34522,1.81734,0.00258,0.9794,1,0.995,0.94403,0.33256,1.99667,0.00318,0.00113269,0.00113269,0.0881327
