epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68069,0.82301,8.01043,0.00212,0,0,0,0,0.83998,7.52563,0.0039,0,0,0.1
2,7.84403,0.6514,9.70224,0.00258,0,0,0,0,0.81419,7.51319,0.00352,9.802e-05,9.802e-05,0.099098
3,11.7538,1.1504,6.04349,0.00285,0,0,0,0,0.76292,7.45266,0.00328,0.00019208,0.00019208,0.0981921
4,15.6606,1.25962,5.73965,0.00258,0,0,0,0,0.69549,7.38862,0.00296,0.00028218,0.00028218,0.0972822
5,19.5562,0.93269,5.99535,0.00295,0,0,0,0,0.59037,7.33987,0.00241,0.00036832,0.00036832,0.0963683
6,23.7767,0.93011,6.19291,0.00255,0,0,0,0,0.48686,7.19244,0.00204,0.0004505,0.0004505,0.0954505
7,27.7976,0.67539,7.68084,0.00331,0,0,0,0,0.46259,7.06486,0.002,0.00052872,0.00052872,0.0945287
8,31.762,0.65587,5.68196,0.00305,0,0,0,0,0.42551,7.01087,0.0017,0.00060298,0.00060298,0.093603
9,35.7313,0.63816,6.07288,0.0021,0,0,0,0,0.40466,7.02119,0.00165,0.00067328,0.00067328,0.0926733
10,39.7556,0.45886,7.20829,0.00148,0,0,0,0,0.67767,6.49402,0.00313,0.00073962,0.00073962,0.0917396
11,43.7953,0.48471,5.92186,0.0026,0.00505,0.33333,0.02764,0.00553,0.48169,6.08827,0.00207,0.000802,0.000802,0.090802
12,47.7965,0.56732,6.05347,0.00197,0.0049,0.33333,0.05528,0.04975,0.4898,5.27374,0.00208,0.00086042,0.00086042,0.0898604
13,51.8248,0.33277,6.64678,0.00109,0,0,0,0,0.38684,5.28433,0.00157,0.00091488,0.00091488,0.0889149
14,56.0904,0.30299,5.65158,0.00141,0.00597,0.66667,0.01111,0.01024,0.43769,4.91014,0.00185,0.00096538,0.00096538,0.0879654
15,59.9131,0.63252,5.13588,0.00171,0.00614,0.66667,0.04189,0.04102,0.4659,4.63802,0.00203,0.00101192,0.00101192,0.0870119
16,63.7959,0.38485,4.72647,0.00149,0.00634,0.66667,0.33996,0.33996,0.40273,4.23204,0.00169,0.0010545,0.0010545,0.0860545
17,67.7709,0.53598,5.27303,0.00173,0.60092,0.33333,0.33167,0.2987,0.4453,4.01576,0.00192,0.00109312,0.00109312,0.0850931
18,71.4727,0.62204,3.95327,0.00233,0.60092,0.33333,0.33167,0.2987,0.4453,4.01576,0.00192,0.00112778,0.00112778,0.0841278
19,75.4057,0.344,4.35463,0.00076,0.82801,0.33333,0.35536,0.31982,0.51297,3.78524,0.00239,0.00115848,0.00115848,0.0831585
20,79.3037,0.47026,3.62704,0.00124,0.82801,0.33333,0.35536,0.31982,0.51297,3.78524,0.00239,0.00118522,0.00118522,0.0821852
21,83.3026,0.39291,3.82269,0.00133,0.95725,0.33333,0.67123,0.63806,0.29595,3.21342,0.0013,0.001208,0.001208,0.081208
22,87.0817,0.61493,3.71895,0.00131,0.95725,0.33333,0.67123,0.63806,0.29595,3.21342,0.0013,0.00122682,0.00122682,0.0802268
23,91.1874,0.40669,3.27519,0.00133,0.95088,0.33333,0.66333,0.597,0.39807,3.04967,0.00181,0.00124168,0.00124168,0.0792417
24,94.9942,0.35605,2.91691,0.00141,0.95088,0.33333,0.66333,0.597,0.39807,3.04967,0.00181,0.00125258,0.00125258,0.0782526
25,98.8936,0.2881,2.65205,0.00096,0.26793,0.66667,0.67123,0.63806,0.43715,2.85864,0.00214,0.00125952,0.00125952,0.0772595
26,102.823,0.57832,2.59602,0.00302,0.26793,0.66667,0.67123,0.63806,0.43715,2.85864,0.00214,0.0012625,0.0012625,0.0762625
27,106.729,0.92424,2.63395,0.00435,0.29936,0.66667,0.74625,0.71308,0.35087,2.52827,0.00149,0.00126152,0.00126152,0.0752615
28,110.615,0.69126,1.86642,0.002,0.29936,0.66667,0.74625,0.71308,0.35087,2.52827,0.00149,0.00125658,0.00125658,0.0742566
29,114.604,0.81429,2.70904,0.00482,0.34595,1,0.77389,0.77389,0.28335,2.20371,0.00114,0.00124768,0.00124768,0.0732477
30,118.329,0.50243,2.30217,0.00147,0.34595,1,0.77389,0.77389,0.28335,2.20371,0.00114,0.00123482,0.00123482,0.0722348
31,122.303,0.44161,2.63248,0.00123,0.34819,1,0.77389,0.72967,0.47684,2.00578,0.00217,0.001218,0.001218,0.071218
32,125.985,0.53698,2.45615,0.00174,0.34819,1,0.77389,0.72967,0.47684,2.00578,0.00217,0.00119722,0.00119722,0.0701972
33,129.818,0.5766,2.33911,0.00286,0.44949,1,0.995,0.92867,0.35048,1.79296,0.00156,0.00117248,0.00117248,0.0691725
34,133.578,0.4451,1.61378,0.00179,0.44949,1,0.995,0.92867,0.35048,1.79296,0.00156,0.00114378,0.00114378,0.0681438
35,137.507,0.48503,1.60743,0.00182,0.47992,1,0.995,0.8955,0.59058,1.78932,0.00244,0.00111112,0.00111112,0.0671111
36,141.169,0.60577,1.90423,0.00291,0.47992,1,0.995,0.8955,0.59058,1.78932,0.00244,0.0010745,0.0010745,0.0660745
37,145.15,0.68121,2.17148,0.00196,0.61691,1,0.995,0.8955,0.59621,1.4888,0.00251,0.00103392,0.00103392,0.0650339
38,148.837,0.31671,3.22691,0.00178,0.61691,1,0.995,0.8955,0.59621,1.4888,0.00251,0.00098938,0.00098938,0.0639894
39,152.695,0.58605,1.63838,0.00308,0.57127,1,0.995,0.94525,0.40752,1.2881,0.00182,0.00094088,0.00094088,0.0629409
40,156.411,0.9151,2.18136,0.00349,0.57127,1,0.995,0.94525,0.40752,1.2881,0.00182,0.00088842,0.00088842,0.0618884
41,160.313,0.70815,1.49524,0.0021,0.68988,1,0.995,0.8955,0.71918,1.25258,0.00285,0.000832,0.000832,0.060832
42,163.97,0.86127,1.47267,0.0029,0.68988,1,0.995,0.8955,0.71918,1.25258,0.00285,0.00077162,0.00077162,0.0597716
43,167.816,0.84593,1.71698,0.00234,0.6963,1,0.995,0.8955,0.56063,1.07198,0.00217,0.00070728,0.00070728,0.0587073
44,171.455,0.72153,1.50303,0.00372,0.6963,1,0.995,0.8955,0.56063,1.07198,0.00217,0.00063898,0.00063898,0.057639
45,175.27,0.70402,1.56144,0.00371,0.78553,1,0.995,0.9289,0.41437,0.97502,0.0018,0.00056672,0.00056672,0.0565667
46,178.901,0.39197,1.27806,0.00216,0.78553,1,0.995,0.9289,0.41437,0.97502,0.0018,0.0004905,0.0004905,0.0554905
47,182.74,0.49401,1.06826,0.00267,0.80917,1,0.995,0.94525,0.32733,1.03307,0.00144,0.00041032,0.00041032,0.0544103
48,186.568,0.76895,3.03255,0.00189,0.80917,1,0.995,0.94525,0.32733,1.03307,0.00144,0.00032618,0.00032618,0.0533262
49,190.475,0.37982,1.62914,0.00187,0.80572,1,0.995,0.97842,0.28662,1.00252,0.00128,0.00023808,0.00023808,0.0522381
50,194.195,0.44055,1.24186,0.00144,0.80572,1,0.995,0.97842,0.28662,1.00252,0.00128,0.00014602,0.00014602,0.051146
